Id,Word,Pinyin,English,Book,Lesson,Dialog,NW,PN,OofC,Alternates,Grammar Reference,2019-06-16,Song Lyrics,Song YouTube,Song Pinyin,Song Translation,Example Pinyin,Example,Translation,Instagram Image Created
1098,苦,kǔ ,bitter,4,13,5,31,,,,,,,,,,kǔ sì dǎnzhī,苦似胆汁,as bitter as gall,
1099,省,shěng ,province,4,13,5,32,,,,,,,,,,tā de jiā zài Hēilóngjiāng Shěng Mǔdanjiāng Shì,她的家在黑龙江省牡丹江市。,"Her home is in Mudanjiang City, Helongjiang Province.",
1100,袋（子）,dài（ zǐ） ,"bag, sack",4,13,5,,,,,,,,,,,dàizi xì bù láo,袋子系不牢。,The bag won't fasten properly.,
1101,出差,chūchāi ,to go on a business trip,4,14,1,1,,,,,,,,,,tā xiàzhōu dào Shàng Hǎi chū liǎng tiān chà,他下周到上海出两天差。,He will be in Shanghai for two days next week.,Yes
1102,毛巾,máojīn ,towel,4,14,1,2,,,,,,,,,,tā yòng máojīn bǎtóu fābāo qilai,她用毛巾把头发包起来。,She wrapped her hair up in a towel.,
1103,牙膏,yágāo ,toothpaste,4,14,1,3,,,,,,,,,,bǎ yágāo cóng guǎn lǐ jǐ chūlái,把牙膏从管里挤出来,extrude toothpaste from the tube,
1104,重,zhòng ,"heavy, weighty",4,14,1,4,,,,,,,,,,tā néng jǔ hěn zhòng de fènliang,他能举很重的份量。,He is able to lift a very heavy weight.,
1105,行,xíng ,"OK, agreed",4,14,1,5,,,,,,,,,,xíng ma,行吗?,Can I have the ok ?,
1106,省,shěng ,to save cost,4,14,1,6,,,,,,,,,,jìsuànjī jiāng shǐ wǒmen shěng xià xǔduō shíjiān,计算机将使我们省下许多时间。,The computer will save us a lot of time.,
1107,污染,wūrǎn ,to pollute,4,14,1,7,,,,,,,,,,xīyān wūrǎn kōngqì,吸烟污染空气,Smokers pollute the air.,
1108,卫生间,wèishēngjiān ,restroom,4,14,2,8,,,,,,,,,,yòubian shì nǚ wèishēngjiān,右边是女卫生间。,The washroom on the right is for girls.,
1109,脏,zāng ,dirty,4,14,2,9,,,,,,,,,,wǒ bǎ zāng dìbǎn hǎohǎo cā le yīxià,我把脏地板好好擦了一下。,I gave the dirty floor a good scour.,
1110,抱歉,bàoqiàn ,sorry,4,14,2,10,,,,,,,,,,wǒ fēicháng bàoqiàn,我非常抱歉！,I am terribly sorry!,
1111,空,kōng ,empty,4,14,2,11,,,,,,,,,,qǐng bǎ kōng píng quánbù tuìhuí,请把空瓶全部退回。,"Please return all empties, ie empty milk bottles.",
1112,盒子,hézi ,"box, case",4,14,2,12,,,,,,,,,,hézi lǐ yǒu yīkuài féizào,盒子里有一块肥皂。,There is a cake of soap in the box.,
1113,扔,rēng ,to throw away,4,14,2,13,,,,,,,,,,bùyào luànrēng fèizhǐ,不要乱扔废纸。,Don't throw waste-paper about.,
1114,以,yǐ ,"with, using",4,14,2,14,,,,4.14.2,,,,,,tā gǎi chéng diànchē ér bù chéng chūzūqìchē yǐ jiéshěng qián,他改乘电车而不乘出租汽车以节省钱。,He economized by using trams instead of taking taxis.,
1115,速度,sùdù ,speed,4,14,2,15,,,,,,,,,,tā yǐ jīngrén de sùdù zuòchū le fǎnyìng,他以惊人的速度作出了反应。,He reacted with surprising speed.,
1116,地球,dìqiú ,earth,4,14,3,16,,,,,,,,,,dìqiú yòu gōngzhuàn yòu zìzhuàn,地球又公转又自转。,The earth revolves both round the sun and on its own axis.,
1117,既然,jìrán ,"since (as in “since that is the case, then…”)",4,14,3,17,,,,4.14.3,,,,,,jìrán tiānqì zhème rè wǒmen qù yóuyǒng ba,既然天气这么热，我们去游泳吧。,"Since it is so hot, let's go swimming.",
1118,停,tíng ,to stop,4,14,3,18,,,,,,,,,,yáng zhe bái fān de yúchuán tíng zài hǎiwān shàng,扬着白帆的渔船停在海湾上。,The fishing boast rested on the bay under their white sails.,
1119,得意,déyì ,"complacent, gloating",4,14,3,19,,,,,,,,,,kàn nǐ déyì de yàngzi,看你得意的样子！,Look at how you gloat!,Yes
1120,目的,mùdì ,"aim, purpose",4,14,3,20,,,,,,,,,,qíshí tā de mùdì tǐng jiǎndān de,其实他的目的挺简单的。,"In fact, his purpose is quite simple.",Yes
1121,暖,nuǎn ,warm,4,14,3,21,,,,,,,,,,nuǎn kōngqì xiàngshàng liúdòng,暖空气向上流动,warm air convecting upward.,
1122,塑料袋,sùliàodài ,plastic bag,4,14,4,22,,,,,,,,,,zài zhǎnlǎnhuì shàng wǒmen zèngsòng le wǔ qiān zhǐ sùliàodài,在展览会上，我们赠送了五千只塑料袋。,"We give away 5, 000 plastic hag at the exhibition .",
1123,于是,yúshì ,"hence, therefore",4,14,4,23,,,,4.14.4,,,,,,yúshì tā mòmò dì niàn qǐ le táicí,于是，她默默地念起了台词。,Hence she repeated the lines to herself.,
1124,鼓励,gǔlì ,to encourage,4,14,4,24,,,,,,,,,,zhèyàng zuò néng gǔlì yuèdú,这样做能鼓励阅读。,"By doing that, it will encourage reading.",
1125,拒绝,jùjué ,"to refuse, to reject",4,14,4,25,,,,,,,,,,wǒ jùjué zàidù hé nà jiā gōngsī zuòshēngyì,我拒绝再度和那家公司做生意。,I refuse to trade with that company again.,
1126,减少,jiǎnshǎo ,"to lessen, reduce, decrease",4,14,4,26,,,,,,,,,,jiǎnshǎo shǐyòng sùliàodài kěyǐ bǎohù huánjìng,减少使用塑料袋，可以保护环境。,Reducing the use of plastic bags can protect the environment.,Yes
1127,数量,shùliàng ,"quantity, amount",4,14,4,27,,,,,,,,,,zhìliàng wǎngwǎng bǐ shùliàng gèng zhòngyào,质量往往比数量更重要。,Quality often matters more than quantity.,
1128,温度,wēndù ,temperature,4,14,5,28,,,,,,,,,,shuǐ biànchéng bīng shì wēndù jiàngdī de jiéguǒ,水变成冰是温度降低的结果。,The change of water into ice results from the decreasing in temperature.,
1129,乘坐,chéngzuò ,to take (a vehicle),4,14,5,29,,,,,,,,,,duō chéngzuò dìtiě huò gōnggòngqìchē néng jiàngdī kōngqìwūrǎn,多乘坐地铁或公共汽车，能降低空气污染。,Taking more subway or bus can reduce air pollution.,Yes
1130,丢,diū ,to throw,4,14,5,30,,,,,,,,,,tā de qián dōu diū le bùdébù bùxíng huíjiā,他的钱都丢了，不得不步行回家。,He lost all his money and had to pad it home.,
1131,垃圾桶,lājītǒng ,trash can,4,14,5,31,,,,,,,,,,wǒmen kěyǐ bǎ lājī diū dào nàge lājītǒng qù,我们可以把垃圾丢到那个垃圾桶去。,We can put our trash in it.,
1132,美丽,měilì ,beautiful,4,14,5,32,,,,,,,,,,nà fēngjǐng měilì dé nányǐ xíngróng,那风景美丽得难以形容。,The scenery was beautiful beyond description.,
1133,弹钢琴,tán gāngqín ,to play the piano,4,15,1,1,,,,,,,,,,tāmen huì tán gāngqín,他们会弹钢琴。,They can play the piano.,
1134,棒,bàng ,"excellent, amazing",4,15,1,2,,,,,,,,,,tā yóuyǒng kě bàng le,他游泳可棒了。,He is excellent at swimming.,
1135,孙子,sūnzi ,grandson,4,15,1,3,,,,,,,,,,tā bǎ tā de sūnzi guǎn dehěn jǐn,他把他的孙子管得很紧。,He keeps his grandson shut up.,
1136,寒假,hánjià ,winter vacation,4,15,1,4,,,,,,,,,,hánjià wǒ hé zǔmǔ zhù zàiyīqǐ,寒假我和祖母住在一起。,I put up with my grandmother during the winter vacation.,
1137,父亲,fùqīn ,father,4,15,1,5,,,,,,,,,,xiàng nǐ fùqīn zhìyì,向你父亲致意。,My best greetings to your father.,
1138,闹钟,nàozhōng ,alarm clock,4,15,2,6,,Outside HSK,,,,,,,,,,,
1139,响,xiǎng ,"to sound, to ring",4,15,2,7,,,,,,,,,,nàozhōng yī xiǎng wǒ jiù xǐng le,闹钟一响我就醒了。,I woke at the sound of the alarm clock.,
1140,醒,xǐng ,"to wake up, to be awake",4,15,2,8,,,,,,一觉睡到自然醒过来,https://youtu.be/jUb1XQzNiCI?t=56,,,wǒ yībān zài nàozhōng xiǎng qián5 fēnzhōng jiù xǐng le,我一般在闹钟响前5分钟就醒了。,I normally wake up about five minutes before my alarm clock goes off.,
1141,赶,gǎn ,"to rush for, to hurry",4,15,2,9,,,,,,,,,,gǎnqiánbùgǎnhòu,赶前不赶后,It's better to hurry at the beginning than to do things in a rush at the last moment.,
1142,厕所,cèsuǒ ,"restroom, bathroom",4,15,2,10,,,,,,,,,,qǐngwèn náncè suǒzài nǎlǐ,请问，男厕所在哪里？,"Excuse me, where is the gentlemen's toilet?",
1143,批评,pīpíng ,to criticize,4,15,2,11,,,,,,,,,,pīpíng shì bǐjiào róngyì de,批评是比较容易的。,It is easier to criticize.,
1144,弄,nòng ,"to do, to make",4,15,2,12,,,,4.15.2,,,,,,è le nǐ yào nòng zǎocān ma,饿了，你要弄早餐吗？,"Yes, do you want to fix some breakfast?",
1145,管理,guǎnlǐ ,"to manage, to administer",4,15,2,13,,,,,,,,,,wèile guǎnlǐ hǎo gōngchǎng tā kě zhēnshi shàfèikǔxīn,为了管理好工厂，他可真是煞费苦心。,He took great pains to manage the factory well.,
1146,打针,dǎzhēn ,to get a shot (injection),4,15,3,14,,,,,,,,,,wǒ dé dǎzhēn ma,我得打针吗？,Must I have an injection?,
1147,护士,hùshi ,nurse,4,15,3,15,,,,,,,,,,hùshi duì wǒ hěn hǎo,护士对我很好。,The nurse treated me very kindly.,
1148,表扬,biǎoyáng ,"to praise, to commend",4,15,3,16,,,,,,,,,,nǐ zuò le hǎoshì zhíde biǎoyáng,你做了好事，值得表扬。,Your good deeds deserve praise.,
1149,千万,qiānwàn ,ever (as in “don’t ever do it”),4,15,3,17,,,,4.15.3,,,,,,qiānwàn bié bǎ zhè liǎng gè cí xiāng hùnxiáo,千万别把这两个词相混淆。,Never mix up these two words.,
1150,怀疑,huáiyí ,to suspect,4,15,3,18,,,,,,,,,,tā kànshangqu hěn qióng kěshì wǒ huáiyí tā hěn yǒuqián,他看上去很穷，可是我怀疑他很有钱。,"He seems poor, but I suspect that he has quite a lot of money.",
1151,故意,gùyì ,"intentionally, on purpose",4,15,4,19,,,,,,,,,,tā gùyì shǐyòng wěizào de yóu,他故意使用伪造的油。,He used snide oils knowingly.,
1152,敲,qiāo ,"to knock, to beat, to strike",4,15,4,20,,,,,,,,,,tā zài bōli chuāng shàng jí qīng dì qiāo le yīxià,他在玻璃窗上极轻地敲了一下。,He tapped on the pane with a very small and feeble knock.,
1153,整理,zhěnglǐ ,"to tidy up, to arrange",4,15,4,21,,,,,,,,,,wǒ bāng nǐ zhěnglǐ shūjià,我帮你整理书架。,I will tidy your bookshelf.,
1154,合适,héshì ,"to be fitting, to be suitable",4,15,4,22,,,,,,,,,,jiàoyù háizi yīnggāi xuǎnzé héshì de jiàoyù fāngfǎ,教育孩子应该选择合适的教育方法。,Children should be educated by choosing appropriate methods of education.,Yes
1155,骗,piàn ,"to fool, to deceive",4,15,4,23,,,,,,,,,,nǐ piàn bùliǎo wǒ,你骗不了我。,You can't fool me; I wasn't born yesterday.,
1156,儿童,értóng ,children,4,15,4,24,,,,,,,,,,duōshù értóng duì tónghuàgùshì gǎnxìngqù,多数儿童对童话故事感兴趣。,Fairy-tales intrigued most children.,
1157,假,jiǎ ,fake,4,15,4,25,,,,,,,,,,yīgèrén jué bùnéng duì péngyou jiǎ xīn jiǎyì,一个人决不能对朋友假心假意。,One must never be false to one's friend.,
1158,左右,zuǒyòu ,around,4,15,5,26,,,,4.15.5,,,,,,tā quèrèn dàgài shì èrshí rén zuǒyòu,他确认大概是二十人左右。,He decided it was about twenty-two.,
1159,懒,lǎn ,lazy,4,15,5,27,,,,,,,,,,wǒ zhīdào gē lín shì gè lǎn dàn,我知道戈林是个懒蛋。,I know that Goering is lazy.,
1160,笨,bèn ,stupid,4,15,5,28,,,,,,,,,,tā yīdiǎn yě bù bèn,他一点也不笨。,He is not at all stupid.,
1161,粗心,cūxīn ,careless,4,15,5,29,,,,,,,,,,tā bùshì cūxīn zhǐshì bùgòu zǐxì,她不是粗心，只是不够仔细。,"She’s not careless, just not careful enough.",Yes
1162,骄傲,jiāo'ào ,arrogant,4,15,5,30,,,,,,,,,,jiāo'ào zìdà,骄傲自大,to be conceited and arrogant,
1163,害羞,hàixiū ,to be shy,4,15,5,31,,,,,,,,,,zhège hàixiū de xiǎo nǚhái duǒ zài mùhòu,这个害羞的小女孩躲在幕后。,The shy girl kept in the background.,
1164,博士,bóshì ,doctor (academic degree),4,16,1,1,,,,,,,,,,tā huòdé bóshìxuéwèi,他获得博士学位。,He received a doctor's degree.,
1165,签证,qiānzhèng ,visa,4,16,1,2,,,,,,,,,,tā yǐ shēnqǐng rùjìngqiānzhèng,他已申请入境签证。,He has applied for an entry visa.,
1166,报名,bàomíng ,"to apply, to sign up",4,16,1,3,,,,,,,,,,bàomíng de xuésheng fēicháng yǒngyuè,报名的学生非常踊跃。,Their enrolments have risen by leaps and bounds.,
1167,表格,biǎogé ,"form, table",4,16,1,4,,,,,,,,,,qǐng tiánxiě zhè zhāng biǎogé,请填写这张表格。,Please fill out this form.,
1168,传真,chuánzhēn ,to send by fax,4,16,1,5,,,,,,,,,,duìbuqǐ fángjiān lǐmiàn méiyǒu chuánzhēnjī,对不起，房间里面没有传真机。,Sorry. There is no fax machine in the room.,
1169,号码,hàomǎ ,number,4,16,1,6,,,,,,,,,,cōngmáng jiān tā wàng le liúxià diànhuà hàomǎ,匆忙间她忘了留下电话号码。,In her hurry she forgot to leave her phone number.,
1170,参观,cānguān ,"to visit, to look around",4,16,2,7,,,,,,,,,,wǒmen zhège zhōumò qù cānguān zhǎnlǎnhuì ba,我们这个周末去参观展览会吧!,Let's pay a visit to the exhibition this weekend.,
1171,激动,jīdòng ,"excited, emotional",4,16,2,8,,,,,,,,,,zài cānguān guòchéng zhōng wǒ hěn jīdòng,在参观过程中我很激动。,I was very excited during the visit.,Yes
1172,小伙子,xiǎohuǒzi ,young man,4,16,2,9,,,,,,,,,,nà xiǎohuǒzi zài jùhuì shàng jǔzhǐ détǐ,那小伙子在聚会上举止得体。,The young man carried himself well at the party.,
1173,记者,jìzhě ,"journalist, reporter",4,16,2,10,,,,,,,,,,tā yǔ nà wèi jìzhě zhēngzhí qilai le,她与那位记者争执起来了。,She fell out with the journalist.,
1174,代表,dàibiǎo ,"to represent, to stand for",4,16,2,11,,HSK 5,,,,,,,,dìtú shàng de hóngxiàn dàibiǎo tiělù,地图上的红线代表铁路。,The red lines on the map represents railways.,Yes
1175,恐怕,kǒngpà ,(indicating an estimation) I guess…,4,16,2,12,,,,4.16.2,,,,,,kǒngpà wǒ yǎng jī bùzài xíng,恐怕我养鸡不在行。,I don't know that I am apt at tending fowls.,
1176,失望,shīwàng ,disappointed,4,16,3,13,,,,,,,,,,zhè cì wǒ fùmǔ yòu yào shīwàng le,这次我父母又要失望了。,My parents are disappointed again this time.,Yes
1177,郊区,jiāoqū ,"suburb, outskirts",4,16,3,14,,,,,,,,,,Luòshānjī de jiāoqū,洛杉矶的郊区,the suburb of Los Angeles,
1178,到底,dàodǐ ,… on earth? (used in questions for emphasis),4,16,3,15,,,,4.16.3,,不管这个胡闹时代到底有多坏,https://youtu.be/jUb1XQzNiCI?t=59,,,wǒmen jìnlì zhēngqǔ tā dàodǐ chénggōng le,我们尽力争取他，到底成功了。,We did our best to carry him over and at last succeeded.,
1179,呀,ya ,speech particle at the end of a sentence,4,16,3,16,,,,,,,,,,“ āiyā nín shì wèi tiānxiān ya,“哎呀，您是位天仙呀,"""Why, you're an angel!"" he said with perfect honesty.",
1180,导游,dǎoyóu ,tour guide,4,16,3,17,,,,,,,,,,wǒ xiànzài zài yījiā lǚyóu gōngsī zuò dǎoyóu,我现在在一家旅游公司做导游。,I'm now working as a tour guide in a travel agency.,
1181,礼貌,lǐmào ,polite,4,16,3,18,,,,,,,,,,tā duì rén zǒngshì fēicháng yǒulǐmào,他对人总是非常有礼貌。,He's always so polite to people.,
1182,原谅,yuánliàng ,to forgive,4,16,3,19,,,,,,,,,,tā yīdìng huì yuánliàng nǐ,他一定会原谅你。,He will certainly forgive you.,Yes
1183,挂,guà ,to hang,4,16,4,20,,,,,,,,,,bǎ nǐ de yīfu guà zài gōuzi shàng,把你的衣服挂在钩子上。,Hang your clothes on the hook.,
1184,同情,tóngqíng ,to show sympathy for,4,16,4,21,,,,,,,,,,nǐ zhème zuò bùhuì dédào biéren de tóngqíng,你这么做，不会得到别人的同情。,"If you do that, you won't get sympathy from others.",Yes
1185,推,tuī ,"to put off, to postpone",4,16,4,22,,,,,,,,,,tā tuī zhe zìxíngchē chuānguò xiázhǎi de xiàngzi,他推着自行车穿过狭窄的巷子。,He wheeled his bike through the narrow lane.,
1186,预习,yùxí ,to preview lessons before class,4,16,4,23,,,,,,,,,,yùxí gōngkè,预习功课,to prepare one's lesson | to prepare one's homework,
1187,重点,zhòngdiǎn ,"focal point, emphasis",4,16,4,24,,,,,,,,,,zhòngdiǎn xīnlǐ zhìliáofǎ,重点心理治疗法,focal psychotherapy,
1188,马虎,mǎhu ,careless,4,16,4,25,,,,,,,,,,tā fánshì hěn mǎhu,她凡事很马虎。,She took her responsibilities lightly.,
1189,自信,zìxìn ,self-confident,4,16,4,26,,,,,,,,,,tā Hànyǔ yuè xué yuè hǎo yuè shuō yuè zìxìn,他汉语越学越好，越说越自信。,"The better he learns Chinese, the more confident he is.",Yes
1190,冷静,lěngjìng ,"calm, composed",4,16,5,27,,,,,,,,,,nǐ bìxū lěngjìng,你必须冷静。,You have to be calm.,
1191,输,shū ,"to lose, to suffer defeat",4,16,5,28,,,,,,,,,,wǒ kǒngpà tā huì shūdiào bǐsài,我恐怕他会输掉比赛。,I'm afraid he is going to lose the match.,
1192,重视,zhòngshì ,to view something as important,4,16,5,29,,,,,,,,,,wǒ huì shǐzhōng zhòngshì nǐ de yǒuyì,我会始终重视你的友谊。,I will always value your friendship.,Yes
1193,敢,gǎn ,"to have the courage, to dare (doing something)",4,16,5,30,,,,4.16.5,,,,,,nǐ zěnme gǎn chāikāi wǒ de xìn,你怎么敢拆开我的信？,How dare you take apart my letter?,
1194,尊重,zūnzhòng ,to respect,4,16,5,31,,,,,,,,,,tā zhǐ zūnzhòng shígànjiā,她只尊重实干家。,She only respected doers.,Yes
1195,凉快,liángkuai ,pleasantly cool (temperature),4,17,1,1,,,,,,,,,,zuìjìn tiānqì yuèláiyuè liángkuai le,最近天气越来越凉快了。,It's getting cooler and cooler recently.,Yes
1196,热闹,rènao ,"busy, bustling",4,17,1,2,,,,,,,,,,rènao de jiēdào,热闹的街道,a busy street,
1197,云,yún ,cloud,4,17,1,3,,,,,,,,,,bìkōng wú yún yùshì zhe yī gè hǎo tiānqì,碧空无云，预示着一个好天气。,Azure skies are indicative of good weather.,
1198,广播,guǎngbō ,"broadcast, radio program",4,17,1,4,,,,,,,,,,zuówǎn guǎngbō le yīzé tèbié xiāoxi,昨晚广播了一则特别消息。,A special message was broadcast last night.,
1199,照,zhào ,"to take a picture, to photograph",4,17,1,5,,,,,,,,,,wǒ gěi nǐ zhào zhāng xiāng hǎo ma,我给你照张相好吗？,May I take your picture?,
1200,倒,dǎo ,"(used to indicate contrast) yet, actually",4,17,1,6,,,,4.17.1,,,,,,wǒmen dǎo bìng wèi zhuàng shàng nà liàng qìchē kě xiǎnxiē chūleshì,我们倒并未撞上那辆汽车，可险些出了事。,"We didn't actually hit the other car, but it was a close call.",
1201,香山,xiāngshān ,Xiangshan (Fragrant Hill) in Beijing,4,17,1,,2,,,,,,,,,tā xìkàn dìtú jìnlì jìzhu dào xiāngshān de lùxiàn,他细看地图，尽力记住到香山的路线。,"He studied the map, trying to memorize the route to Fragrant Hill.",
1202,长城,Chángchéng ,The Great Wall,4,17,1,,3,,,,,,,,,jiēxiàlái de yī tiān wǒ qù pá Chángchéng le,接下来的一天我去爬长城了。,The next day I walked along the Great Wall.,
1203,安娜,Ānnà,Anna,4,17,1,,1,,,,,,,,,Ānnà gěi tā gàishang máotǎn,安娜给她盖上毛毯。,Anna piled blankets on her.,
1204,毛,máo ,"hair, fur",4,17,2,7,,,,,,,,,,tā quánshēn shì máo,它全身是毛。,Its body is covered with hair.,
1205,抱,bào ,"to hold in the arms, to hug",4,17,2,8,,,,,,在我转身之后 你却又抱着我,https://youtu.be/dB0t01rSLGQ?t=88,zài wǒ zhuǎnshēn zhīhòu nǐ què yòu bào zhe wǒ,"After I turned around, you held me again.",Lùxī zhèng zuò zài zhuō páng bǎ háizi bào zài xī shàng,露西正坐在桌旁，把孩子抱在膝上。,Lucy was sitting at a table with the child on her lap.,
1206,干,gàn ,"to do, to act",4,17,2,9,,,,4.17.2,,,,,,nǐ xiāngxìn wǒmen gàn déle zhè jiàn gōngzuò ma,你相信我们干得了这件工作吗？,Do you confide in our ability to do this work?,
1207,严格,yángé ,"strict, rigorous",4,17,2,10,,,,,,,,,,tā huì yángé'ànzhào yāoqiú qù zuò,它会严格按照要求去做。,It will do it strictly according to the requirements.,Yes
1208,难受,nánshòu ,"sad, unhappy",4,17,2,11,,,,,,,,,,shìshàng zuì nánshòu de mòguòyú děngdài,世上最难受的莫过于等待。,"Suspense is, perhaps, the feelings of all others, that is most difficult to be supported.",
1209,趟,tàng ,(used for a round trip) time,4,17,3,12,,,,4.17.3,,,,,,zhè tàng huǒchē hěn kěnéng wǎndiǎn,这趟火车很可能晚点。,The train is likely to be late.,
1210,放暑假,fàng shǔjià ,to be on summer vacation,4,17,3,13,,,,,,,,,,wǒ suànshì fàng le shǔjià le dàn què wèinéng zhēnzhèng xiūxi,我算是放了暑假了，但却未能真正休息。,I had a kind of / sort of holiday in the summer but I couldn't really relax.,
1211,老虎,lǎohǔ ,tiger,4,17,3,14,,,,,,,,,,lièshǒu qiāoqiāo dì zhuīzōng lǎohǔ,猎手悄悄地追踪老虎。,The hunter stalked the tiger.,
1212,入口,rùkǒu ,entrance,4,17,3,15,,,,,,,,,,tā zhàn zài yīyuàn rùkǒu chǔ,他站在医院入口处。,He stood in the entrance of the hospital.,
1213,排队,páiduì ,"to form a line, to line up",4,17,3,16,,,,,,,,,,hěn duō rén páiduì děnghòu qìchē,很多人排队等候汽车。,Many people were queuing up for the bus.,
1214,活泼,huópo ,"lively, vivacious",4,17,3,17,,,,,,,,,,tā de gèxìng huópo tiáopí,她的个性活泼调皮。,"She had a lively, playful disposition.",
1215,社会,shèhuì ,society,4,17,4,18,,,,,,,,,,shèhuìjiēcéng,社会阶层,the strata of society,
1216,竞争,jìngzhēng ,to compete,4,17,4,19,,,,,,,,,,hěn duō bìyèshēng jìngzhēng zhège gōngzuò,很多毕业生竞争这个工作。,Many graduates are competing for the job.,Yes
1217,森林,sēnlín ,forest,4,17,4,20,,,,,,,,,,xiǎoxīn zài sēnlín lǐ mí le lù,小心在森林里迷了路！,Don' t lose your way in the forest.,
1218,剩,shèng ,"to be left over, to remain",4,17,4,21,,,,,,,,,,8 jiǎnqù3 shèng5,8减去3剩5。,"If you take 3 from 8,5 remains.",Yes
1219,暖和,nuǎnhuo ,warm,4,17,4,22,,,,,,,,,,chūntiān tiānqì shì nuǎnhuo de,春天天气是暖和的。,It is warm in spring.,
1220,海洋,hǎiyáng ,"sea, ocean",4,17,5,23,,,,,,,,,,hǎiyáng hěn dà dìqiú de sì fēnzhī sān shì hǎiyáng,海洋很大，地球的四分之三是海洋。,The sea is very big. It covers three quarters of the globe.,
1221,底,dǐ ,"bottom, base",4,17,5,24,,,,,,,,,,zhè bēizi de dǐ pò le,这杯子的底破了。,The bottom of the cup is broken.,
1222,美人鱼,měirényú ,mermaid,4,17,5,25,,Outside HSK,,,,,,,,,,,
1223,公里,gōnglǐ ,kilometer,4,17,5,26,,,,,,,,,,chēliàng pái le jǐ gōnglǐ cháng,车辆排了几公里长。,Traffic stacked up for kilometers.,
1224,仍然,réngrán ,"still, yet",4,17,5,27,,,,4.17.5,,,,,,tā biàn lěng hòu réngrán bǎoyǒu tánxìng,它变冷后，仍然保有弹性。,"It was cold, and yet elastic.",
1225,排列,páiliè ,"to put in order, to arrange",4,17,5,28,,,,,,,,,,lǎoshī jiāng xuésheng àn fēnshù páiliè qilai,老师将学生按分数排列起来。,The teacher put the student in order of points.,
1226,梦,mèng ,dream,4,17,5,29,,,,,,,,,,Ānnī zuówǎn zuò le gè qítè de mèng,安妮昨晚做了个奇特的梦。,Annie dreamed an extraordinary dream last night.,
1227,六一儿童节,Liù YīÉrtóngjié,International Children’s Day,4,17,,,2,,,,,,,,,zhè fú huà de zhǔtí shì guò értóng jié de xiǎopéngyǒu,这幅画的主题是过儿童节的小朋友。,The subject of the painting is the children on Children's Day.,
1228,亚洲,Yàzhōu ,Asia,4,17,,,1,,,,,,,,,Yàzhōu shì rénlèi de fāyuándì zhīyī,亚洲是人类的发源地之一。,Asia is one of the places where mankind originated.,
1229,降落,jiàngluò ,"to descend, to land",4,18,1,1,,,,,,,,,,jiàshǐyuán shǐ kèjī ānquán jiàngluò,驾驶员使客机安全降落。,The pilot landed the airliner safely.,
1230,火,huǒ ,"hot, popular",4,18,1,2,,,,,,你就像那冬天里的一把火,https://youtu.be/3xKLu0xbNYw?t=327,,,rèqíng rúhuǒ,热情如火,Some Like It Hot,
1231,作者,zuòzhě ,author,4,18,1,3,,,,,,,,,,tāmen shìtú zhuīxún nàge jùběn de zuòzhě,他们试图追寻那个剧本的作者。,They tried to affiliate that play to its author.,
1232,交通,jiāotōng ,"traffic, transportation",4,18,1,4,,,,,,,,,,xùjiǔ shì jiāotōng shìgù de zhǔyào yuányīn,酗酒是交通事故的主要原因。,Drinking is a principal cause of traffic accidents.,
1233,技术,jìshù ,technology,4,18,1,5,,,,,,,,,,Rìběn zài fāzhǎn diànnǎo jìshù fāngmiàn luòhòu yú Měiguó,日本在发展电脑技术方面落后于美国。,Japan lags U.S.A. in developing computer technology.,
1234,是否,shìfǒu ,"if, whether",4,18,1,6,,,,4.18.1,,夜空中最亮的星 是否知道,https://youtu.be/KAG-oMF0mA8?t=97,,,zhìnángtuán shìfǒu tíchū guò shénme yǒuyòng de yìjiàn ne,智囊团是否提出过什么有用的意见呢？,What useful idea ever came out of a think-tank?,
1235,秒,miǎo ,a second (of time),4,18,2,7,,,,,,,,,,shíjiān shìyǐ xiǎoshí、 fēn、 miǎo jìsuàn de,时间是以小时、分、秒计算的。,"Time is measured by the hour, minute and second.",
1236,方式,fāngshì ,"way, manner",4,18,2,8,,HSK 5,,,,,,,,,,,
1237,受不了,shòubùliǎo ,"cannot stand, cannot bear",4,18,2,9,,,,4.18.2,,,,,,tiāntiān duì zhe diànnǎo kàn yǎnjing shízài shòubùliǎo,天天对着电脑看，眼睛实在受不了。,"Looking at the computer every day, my eyes can't stand it.",Yes
1238,日记,rìjì ,"diary, journal",4,18,2,10,,,,,,,,,,nǐ kàn guò Léi Fēng rìjì ma,你看过雷锋日记吗？,Have you seen Lei Feng's diary?,
1239,安全,ānquán ,"safe, secure",4,18,2,11,,,,,,,,,,bǎ zhèxiē dōngxi fàng zài ānquán de dìfang,把这些东西放在安全的地方。,Keep these in a safe place.,
1240,密码,mìmǎ ,password,4,18,2,12,,,,,,,,,,mìmǎ cuòwù,密码错误。,invalid password.,
1241,允许,yǔnxǔ ,"to allow , to permit",4,18,2,13,,,,,,,,,,zhǐyǒu dé dàoliǎo yǔnxǔ biéren cáinéng kàn dào,只有得到了允许，别人才能看到。,Only with permission can others see it.,Yes
1242,座,zuò ,"measure word for bridges, mountains, buildings, etc.",4,18,3,14,,,,,,,,,,shāndǐng shàng yǒu yī zuò liáoyǎng yuàn,山顶上有一座疗养院。,At the top of the hill was a nursing home.,
